FIPStxt,States,Area_name,POVALL_2019
18159,IN,Tipton County,"1,166"
18161,IN,Union County,667
18163,IN,Vanderburgh County,"25,190"
18165,IN,Vermillion County,"1,859"
18167,IN,Vigo County,"20,241"
18169,IN,Wabash County,"3,163"
18171,IN,Warren County,766
18173,IN,Warrick County,"3,888"
18175,IN,Washington County,"3,325"
18177,IN,Wayne County,"9,577"
18179,IN,Wells County,"2,041"
18181,IN,White County,"2,429"
18183,IN,Whitley County,"2,559"
19001,IA,Adair County,750
19003,IA,Adams County,450
19005,IA,Allamakee County,"1,745"
19007,IA,Appanoose County,"2,373"
19009,IA,Audubon County,587
19011,IA,Benton County,"1,964"
19013,IA,Black Hawk County,"17,407"
19015,IA,Boone County,"2,227"
19017,IA,Bremer County,"1,581"
19019,IA,Buchanan County,"1,984"
19021,IA,Buena Vista County,"1,903"
19023,IA,Butler County,"1,492"
19025,IA,Calhoun County,"1,032"
19027,IA,Carroll County,"1,631"
19029,IA,Cass County,"1,798"
19031,IA,Cedar County,"1,433"
19033,IA,Cerro Gordo County,"3,504"
19035,IA,Cherokee County,"1,105"
19037,IA,Chickasaw County,"1,012"
19039,IA,Clarke County,"1,078"
19041,IA,Clay County,"1,627"
19043,IA,Clayton County,"1,910"
19045,IA,Clinton County,"6,009"
19047,IA,Crawford County,"2,074"
19049,IA,Dallas County,"3,956"
19051,IA,Davis County,"1,021"
19053,IA,Decatur County,"1,309"
19055,IA,Delaware County,"1,450"
19057,IA,Des Moines County,"5,703"
19059,IA,Dickinson County,"1,192"
19061,IA,Dubuque County,"10,030"
19063,IA,Emmet County,999
19065,IA,Fayette County,"2,489"
19067,IA,Floyd County,"1,802"
19069,IA,Franklin County,"1,105"
19071,IA,Fremont County,789
19073,IA,Greene County,986
19075,IA,Grundy County,659
19077,IA,Guthrie County,929
19079,IA,Hamilton County,"1,320"
19081,IA,Hancock County,945
19083,IA,Hardin County,"1,689"
19085,IA,Harrison County,"1,206"
19087,IA,Henry County,"2,142"
19089,IA,Howard County,865
19091,IA,Humboldt County,"1,010"
19093,IA,Ida County,704
19095,IA,Iowa County,"1,056"
19097,IA,Jackson County,"2,362"
19099,IA,Jasper County,"2,968"
19101,IA,Jefferson County,"2,386"
19103,IA,Johnson County,"22,937"
19105,IA,Jones County,"1,844"
19107,IA,Keokuk County,"1,150"
19109,IA,Kossuth County,"1,506"
19111,IA,Lee County,"4,859"
19113,IA,Linn County,"24,600"
19115,IA,Louisa County,999
19117,IA,Lucas County,"1,263"
19119,IA,Lyon County,858
19121,IA,Madison County,"1,114"
19123,IA,Mahaska County,"2,316"
19125,IA,Marion County,"2,636"
19127,IA,Marshall County,"4,947"
19129,IA,Mills County,"1,283"
19131,IA,Mitchell County,961
19133,IA,Monona County,"1,028"
19135,IA,Monroe County,811
19137,IA,Montgomery County,"1,279"
19139,IA,Muscatine County,"4,249"
19141,IA,O'Brien County,"1,365"
19143,IA,Osceola County,544
19145,IA,Page County,"2,020"
19147,IA,Palo Alto County,952
19149,IA,Plymouth County,"1,796"
19151,IA,Pocahontas County,654
19153,IA,Polk County,"48,468"
19155,IA,Pottawattamie County,"10,002"
19157,IA,Poweshiek County,"1,951"
19159,IA,Ringgold County,713
19161,IA,Sac County,903
19163,IA,Scott County,"20,016"
19165,IA,Shelby County,970
19167,IA,Sioux County,"2,272"
19169,IA,Story County,"13,727"
19171,IA,Tama County,"2,168"
19173,IA,Taylor County,753
19175,IA,Union County,"1,433"
19177,IA,Van Buren County,895
19179,IA,Wapello County,"4,842"
19181,IA,Warren County,"3,621"
19183,IA,Washington County,"1,971"
19185,IA,Wayne County,"1,211"
19187,IA,Webster County,"4,005"
19189,IA,Winnebago County,"1,011"
19191,IA,Winneshiek County,"1,549"
19193,IA,Woodbury County,"12,882"
19195,IA,Worth County,711
19197,IA,Wright County,"1,364"
20001,KS,Allen County,"2,067"
20003,KS,Anderson County,982
20005,KS,Atchison County,"2,051"
20007,KS,Barber County,593
20009,KS,Barton County,"3,345"
20011,KS,Bourbon County,"2,185"
20013,KS,Brown County,"1,454"
20015,KS,Butler County,"5,460"
20017,KS,Chase County,285
20019,KS,Chautauqua County,518
20021,KS,Cherokee County,"3,016"
20023,KS,Cheyenne County,301
20025,KS,Clark County,238
20027,KS,Clay County,780
20029,KS,Cloud County,"1,123"
20031,KS,Coffey County,903
20033,KS,Comanche County,187
20035,KS,Cowley County,"4,416"
20037,KS,Crawford County,"6,828"
20039,KS,Decatur County,361
20041,KS,Dickinson County,"1,764"
20043,KS,Doniphan County,810
20045,KS,Douglas County,"17,127"
20047,KS,Edwards County,322
20049,KS,Elk County,481
20051,KS,Ellis County,"3,596"
20053,KS,Ellsworth County,490
20055,KS,Finney County,"4,647"
20057,KS,Ford County,"4,522"
20059,KS,Franklin County,"2,594"
20061,KS,Geary County,"3,586"
20063,KS,Gove County,246
20065,KS,Graham County,288
20067,KS,Grant County,743
20069,KS,Gray County,448
20071,KS,Greeley County,131
20073,KS,Greenwood County,873
20075,KS,Hamilton County,332
20077,KS,Harper County,751
20079,KS,Harvey County,"3,058"
20081,KS,Haskell County,379
20083,KS,Hodgeman County,184
20085,KS,Jackson County,"1,410"
20087,KS,Jefferson County,"1,456"
20089,KS,Jewell County,369
20091,KS,Johnson County,"31,666"
20093,KS,Kearny County,389
20095,KS,Kingman County,783
20097,KS,Kiowa County,281
20099,KS,Labette County,"3,027"
20101,KS,Lane County,157
20103,KS,Leavenworth County,"6,255"
20105,KS,Lincoln County,350
20107,KS,Linn County,"1,148"
20109,KS,Logan County,274
20111,KS,Lyon County,"4,790"
20113,KS,McPherson County,"1,991"
20115,KS,Marion County,"1,191"
20117,KS,Marshall County,896
20119,KS,Meade County,380
20121,KS,Miami County,"2,294"
20123,KS,Mitchell County,630
20125,KS,Montgomery County,"4,807"
20127,KS,Morris County,582
20129,KS,Morton County,292
20131,KS,Nemaha County,872
20133,KS,Neosho County,"2,426"
20135,KS,Ness County,283
20137,KS,Norton County,527
20139,KS,Osage County,"2,231"
20141,KS,Osborne County,445
20143,KS,Ottawa County,553
20145,KS,Pawnee County,755
20147,KS,Phillips County,565
20149,KS,Pottawatomie County,"1,735"
20151,KS,Pratt County,981
20153,KS,Rawlins County,352
20155,KS,Reno County,"7,882"
20157,KS,Republic County,553
20159,KS,Rice County,"1,042"
20161,KS,Riley County,"13,334"
20163,KS,Rooks County,509
20165,KS,Rush County,362
20167,KS,Russell County,974
20169,KS,Saline County,"6,514"
20171,KS,Scott County,372
20173,KS,Sedgwick County,"64,061"
20175,KS,Seward County,"2,969"
20177,KS,Shawnee County,"16,817"
20179,KS,Sheridan County,294
20181,KS,Sherman County,725
20183,KS,Smith County,407
20185,KS,Stafford County,559
20187,KS,Stanton County,206
20189,KS,Stevens County,524
20191,KS,Sumner County,"2,542"
20193,KS,Thomas County,670
20195,KS,Trego County,295
20197,KS,Wabaunsee County,472
20199,KS,Wallace County,181
20201,KS,Washington County,502
20203,KS,Wichita County,230
20205,KS,Wilson County,"1,110"
20207,KS,Woodson County,440
20209,KS,Wyandotte County,"33,777"
21001,KY,Adair County,"3,832"
21003,KY,Allen County,"3,543"
21005,KY,Anderson County,"2,294"
21007,KY,Ballard County,"1,195"
21009,KY,Barren County,"8,697"
21011,KY,Bath County,"2,397"
21013,KY,Bell County,"7,569"
21015,KY,Boone County,"9,435"
21017,KY,Bourbon County,"2,736"
21019,KY,Boyd County,"9,186"
21021,KY,Boyle County,"4,119"
21023,KY,Bracken County,"1,156"
21025,KY,Breathitt County,"3,609"
21027,KY,Breckinridge County,"3,675"
21029,KY,Bullitt County,"6,294"
21031,KY,Butler County,"2,261"
21033,KY,Caldwell County,"1,982"
21035,KY,Calloway County,"5,875"
21037,KY,Campbell County,"9,833"
21039,KY,Carlisle County,725
21041,KY,Carroll County,"1,569"
21043,KY,Carter County,"5,207"
21045,KY,Casey County,"3,938"
21047,KY,Christian County,"12,219"
21049,KY,Clark County,"4,627"
21051,KY,Clay County,"5,905"
21053,KY,Clinton County,"2,353"
21055,KY,Crittenden County,"1,646"
21057,KY,Cumberland County,"1,492"
21059,KY,Daviess County,"15,213"
21061,KY,Edmonson County,"1,925"
21063,KY,Elliott County,"1,775"
21065,KY,Estill County,"3,161"
21067,KY,Fayette County,"47,657"
21069,KY,Fleming County,"3,065"
21071,KY,Floyd County,"9,632"
21073,KY,Franklin County,"5,680"
21075,KY,Fulton County,"1,412"
21077,KY,Gallatin County,"1,167"
21079,KY,Garrard County,"2,741"
21081,KY,Grant County,"3,256"
21083,KY,Graves County,"6,551"
21085,KY,Grayson County,"5,175"
21087,KY,Green County,"2,010"
21089,KY,Greenup County,"5,490"
21091,KY,Hancock County,"1,055"
21093,KY,Hardin County,"11,476"
21095,KY,Harlan County,"7,918"
21097,KY,Harrison County,"2,845"
21099,KY,Hart County,"3,767"
21101,KY,Henderson County,"7,172"
21103,KY,Henry County,"2,337"
21105,KY,Hickman County,703
21107,KY,Hopkins County,"7,829"
21109,KY,Jackson County,"3,655"
21111,KY,Jefferson County,"106,552"
21113,KY,Jessamine County,"5,744"
21115,KY,Johnson County,"5,575"
21117,KY,Kenton County,"18,352"
21119,KY,Knott County,"4,291"
21121,KY,Knox County,"9,538"
21123,KY,Larue County,"2,160"
21125,KY,Laurel County,"12,793"
21127,KY,Lawrence County,"3,546"
21129,KY,Lee County,"2,220"
21131,KY,Leslie County,"3,106"
21133,KY,Letcher County,"6,158"
21135,KY,Lewis County,"3,036"
21137,KY,Lincoln County,"4,770"
21139,KY,Livingston County,"1,110"
21141,KY,Logan County,"4,080"
21143,KY,Lyon County,"1,015"
21145,KY,McCracken County,"9,947"
21147,KY,McCreary County,"5,319"
21149,KY,McLean County,"1,268"
21151,KY,Madison County,"15,284"
21153,KY,Magoffin County,"3,528"
21155,KY,Marion County,"3,148"
21157,KY,Marshall County,"3,596"
21159,KY,Martin County,"3,353"
21161,KY,Mason County,"2,619"
21163,KY,Meade County,"3,206"
21165,KY,Menifee County,"1,661"
21167,KY,Mercer County,"2,990"
21169,KY,Metcalfe County,"2,241"
21171,KY,Monroe County,"2,263"
21173,KY,Montgomery County,"4,373"
21175,KY,Morgan County,"2,997"
21177,KY,Muhlenberg County,"5,425"
21179,KY,Nelson County,"4,773"
21181,KY,Nicholas County,"1,236"
21183,KY,Ohio County,"3,672"
21185,KY,Oldham County,"3,070"
21187,KY,Owen County,"1,703"
21189,KY,Owsley County,"1,528"
21191,KY,Pendleton County,"1,791"
21193,KY,Perry County,"6,080"
21195,KY,Pike County,"13,523"
21197,KY,Powell County,"2,593"
21199,KY,Pulaski County,"14,392"
21201,KY,Robertson County,450
21203,KY,Rockcastle County,"3,425"
21205,KY,Rowan County,"4,976"
21207,KY,Russell County,"3,990"
21209,KY,Scott County,"4,795"
21211,KY,Shelby County,"4,449"
21213,KY,Simpson County,"2,264"
21215,KY,Spencer County,"1,403"
21217,KY,Taylor County,"3,997"
21219,KY,Todd County,"2,060"
21221,KY,Trigg County,"2,119"
21223,KY,Trimble County,996
21225,KY,Union County,"2,455"
21227,KY,Warren County,"19,308"
21229,KY,Washington County,"1,723"
21231,KY,Wayne County,"4,736"
21233,KY,Webster County,"2,032"
21235,KY,Whitley County,"7,763"
21237,KY,Wolfe County,"2,108"
21239,KY,Woodford County,"2,162"
22001,LA,Acadia Parish,"12,365"
22003,LA,Allen Parish,"4,610"
22005,LA,Ascension Parish,"12,011"
22007,LA,Assumption Parish,"4,071"
22009,LA,Avoyelles Parish,"8,980"
22011,LA,Beauregard Parish,"5,167"
22013,LA,Bienville Parish,"3,137"
22015,LA,Bossier Parish,"20,339"
22017,LA,Caddo Parish,"56,480"
22019,LA,Calcasieu Parish,"37,742"
22021,LA,Caldwell Parish,"1,818"
22023,LA,Cameron Parish,949
22025,LA,Catahoula Parish,"2,275"
22027,LA,Claiborne Parish,"4,135"
22029,LA,Concordia Parish,"4,873"
22031,LA,De Soto Parish,"4,898"
22033,LA,East Baton Rouge Parish,"76,011"
22035,LA,East Carroll Parish,"2,221"
22037,LA,East Feliciana Parish,"3,130"
22039,LA,Evangeline Parish,"9,115"
22041,LA,Franklin Parish,"4,990"
22043,LA,Grant Parish,"3,610"
22045,LA,Iberia Parish,"15,059"
22047,LA,Iberville Parish,"5,370"
22049,LA,Jackson Parish,"2,827"
22051,LA,Jefferson Parish,"62,709"
22053,LA,Jefferson Davis Parish,"5,877"
22055,LA,Lafayette Parish,"39,646"
22057,LA,Lafourche Parish,"16,755"
22059,LA,La Salle Parish,"2,300"
22061,LA,Lincoln Parish,"12,361"
22063,LA,Livingston Parish,"16,700"
22065,LA,Madison Parish,"3,855"
22067,LA,Morehouse Parish,"7,449"
22069,LA,Natchitoches Parish,"7,047"
22071,LA,Orleans Parish,"88,917"
22073,LA,Ouachita Parish,"35,315"
22075,LA,Plaquemines Parish,"3,450"
22077,LA,Pointe Coupee Parish,"4,312"
22079,LA,Rapides Parish,"23,052"
22081,LA,Red River Parish,"1,970"
22083,LA,Richland Parish,"4,810"
22085,LA,Sabine Parish,"4,296"
22087,LA,St. Bernard Parish,"8,967"
22089,LA,St. Charles Parish,"5,824"
22091,LA,St. Helena Parish,"1,952"
22093,LA,St. James Parish,"3,455"
22095,LA,St. John the Baptist Parish,"6,780"
22097,LA,St. Landry Parish,"18,256"
22099,LA,St. Martin Parish,"9,811"
22101,LA,St. Mary Parish,"11,532"
22103,LA,St. Tammany Parish,"29,707"
22105,LA,Tangipahoa Parish,"28,408"
22107,LA,Tensas Parish,"1,247"
22109,LA,Terrebonne Parish,"20,691"
22111,LA,Union Parish,"4,187"
22113,LA,Vermilion Parish,"10,017"
22115,LA,Vernon Parish,"6,850"
22117,LA,Washington Parish,"11,062"
22119,LA,Webster Parish,"10,967"
22121,LA,West Baton Rouge Parish,"3,734"
22123,LA,West Carroll Parish,"2,177"
22125,LA,West Feliciana Parish,"2,261"
22127,LA,Winn Parish,"2,852"
23001,ME,Androscoggin County,"10,871"
23003,ME,Aroostook County,"10,052"
23005,ME,Cumberland County,"22,333"
23007,ME,Franklin County,"3,653"
23009,ME,Hancock County,"5,695"
23011,ME,Kennebec County,"13,605"
23013,ME,Knox County,"4,174"
23015,ME,Lincoln County,"3,727"
23017,ME,Oxford County,"7,414"
23019,ME,Penobscot County,"17,894"
23021,ME,Piscataquis County,"2,717"
23023,ME,Sagadahoc County,"3,054"
23025,ME,Somerset County,"9,059"
23027,ME,Waldo County,"5,318"
23029,ME,Washington County,"6,009"
23031,ME,York County,"15,990"
24001,MD,Allegany County,"10,038"
24003,MD,Anne Arundel County,"32,641"
24005,MD,Baltimore County,"71,496"
24009,MD,Calvert County,"5,216"
24011,MD,Caroline County,"3,990"
24013,MD,Carroll County,"8,359"
24015,MD,Cecil County,"10,469"
24017,MD,Charles County,"10,268"
24019,MD,Dorchester County,"5,160"
24021,MD,Frederick County,"14,538"
24023,MD,Garrett County,"3,644"
24025,MD,Harford County,"16,851"
24027,MD,Howard County,"16,216"
24029,MD,Kent County,"2,242"
24031,MD,Montgomery County,"75,836"
24033,MD,Prince George's County,"76,853"
24035,MD,Queen Anne's County,"2,967"
24037,MD,St. Mary's County,"8,494"
24039,MD,Somerset County,"4,775"
24041,MD,Talbot County,"3,210"
24043,MD,Washington County,"17,545"
24045,MD,Wicomico County,"15,845"
24047,MD,Worcester County,"5,103"
24510,MD,Baltimore city,"115,961"
25000,MA,Massachusetts,"631,551"
25001,MA,Barnstable County,"13,595"
25003,MA,Berkshire County,"13,321"
25005,MA,Bristol County,"62,413"
25007,MA,Dukes County,"1,249"
25009,MA,Essex County,"68,255"
25011,MA,Franklin County,"6,403"
25013,MA,Hampden County,"62,331"
25015,MA,Hampshire County,"15,342"
25017,MA,Middlesex County,"108,177"
25019,MA,Nantucket County,620
25021,MA,Norfolk County,"40,148"
25023,MA,Plymouth County,"37,885"
25025,MA,Suffolk County,"126,266"
25027,MA,Worcester County,"75,546"
26001,MI,Alcona County,"1,846"
26003,MI,Alger County,"1,020"
26005,MI,Allegan County,"12,648"
26007,MI,Alpena County,"3,894"
26009,MI,Antrim County,"2,216"
26011,MI,Arenac County,"2,528"
26013,MI,Baraga County,984
26015,MI,Barry County,"4,749"
26017,MI,Bay County,"13,645"
26019,MI,Benzie County,"1,685"
26021,MI,Berrien County,"23,806"
26023,MI,Branch County,"5,462"
26025,MI,Calhoun County,"18,085"
26027,MI,Cass County,"7,558"
26029,MI,Charlevoix County,"2,510"
26031,MI,Cheboygan County,"3,716"
26033,MI,Chippewa County,"5,966"
26035,MI,Clare County,"5,982"
26037,MI,Clinton County,"6,164"
26039,MI,Crawford County,"1,933"
26041,MI,Delta County,"4,844"
26043,MI,Dickinson County,"2,457"
26045,MI,Eaton County,"8,093"
26047,MI,Emmet County,"3,029"
26049,MI,Genesee County,"66,557"
26051,MI,Gladwin County,"3,401"
26053,MI,Gogebic County,"2,325"
26055,MI,Grand Traverse County,"6,638"
26057,MI,Gratiot County,"5,035"
26059,MI,Hillsdale County,"6,771"
26061,MI,Houghton County,"4,828"
26063,MI,Huron County,"4,190"
26065,MI,Ingham County,"47,655"
26067,MI,Ionia County,"6,792"
26069,MI,Iosco County,"3,495"
26071,MI,Iron County,"1,473"
26073,MI,Isabella County,"14,755"
26075,MI,Jackson County,"20,500"
26077,MI,Kalamazoo County,"34,247"
26079,MI,Kalkaska County,"2,478"
26081,MI,Kent County,"72,323"
26083,MI,Keweenaw County,217
26085,MI,Lake County,"2,342"
26087,MI,Lapeer County,"8,674"
26089,MI,Leelanau County,"1,541"
26091,MI,Lenawee County,"11,037"
26093,MI,Livingston County,"8,415"
26095,MI,Luce County,969
26097,MI,Mackinac County,"1,507"
26099,MI,Macomb County,"74,273"
26101,MI,Manistee County,"2,862"
26103,MI,Marquette County,"7,321"
26105,MI,Mason County,"3,992"
26107,MI,Mecosta County,"7,976"
26109,MI,Menominee County,"3,029"
26111,MI,Midland County,"7,920"
26113,MI,Missaukee County,"1,633"
26115,MI,Monroe County,"15,223"
26117,MI,Montcalm County,"7,559"
26119,MI,Montmorency County,"1,321"
26121,MI,Muskegon County,"22,745"
26123,MI,Newaygo County,"7,576"
26125,MI,Oakland County,"96,558"
26127,MI,Oceana County,"3,880"
26129,MI,Ogemaw County,"3,768"
26131,MI,Ontonagon County,755
26133,MI,Osceola County,"3,376"
26135,MI,Oscoda County,"1,258"
26137,MI,Otsego County,"2,429"
26139,MI,Ottawa County,"22,048"
26141,MI,Presque Isle County,"1,344"
26143,MI,Roscommon County,"3,636"
26145,MI,Saginaw County,"34,239"
26147,MI,St. Clair County,"16,375"
26149,MI,St. Joseph County,"7,779"
26151,MI,Sanilac County,"5,528"
26153,MI,Schoolcraft County,"1,138"
26155,MI,Shiawassee County,"7,344"
26157,MI,Tuscola County,"5,948"
26159,MI,Van Buren County,"9,697"
26161,MI,Washtenaw County,"44,991"
26163,MI,Wayne County,"341,821"
26165,MI,Wexford County,"4,118"
27001,MN,Aitkin County,"1,947"
27003,MN,Anoka County,"21,793"
27005,MN,Becker County,"3,447"
27007,MN,Beltrami County,"7,357"
27009,MN,Benton County,"3,465"
27011,MN,Big Stone County,533
27013,MN,Blue Earth County,"9,729"
27015,MN,Brown County,"1,763"
27017,MN,Carlton County,"3,114"
27019,MN,Carver County,"4,492"
27021,MN,Cass County,"3,359"
27023,MN,Chippewa County,"1,210"
27025,MN,Chisago County,"3,403"
27027,MN,Clay County,"7,283"
27029,MN,Clearwater County,"1,002"
27031,MN,Cook County,484
27033,MN,Cottonwood County,"1,182"
27035,MN,Crow Wing County,"6,749"
27037,MN,Dakota County,"26,714"
27039,MN,Dodge County,"1,159"
27041,MN,Douglas County,"2,375"
27043,MN,Faribault County,"1,615"
27045,MN,Fillmore County,"1,940"
27047,MN,Freeborn County,"2,858"
27049,MN,Goodhue County,"3,248"
27051,MN,Grant County,519
27053,MN,Hennepin County,"120,032"
27055,MN,Houston County,"1,430"
27057,MN,Hubbard County,"2,386"
27059,MN,Isanti County,"2,761"
27061,MN,Itasca County,"4,946"
27063,MN,Jackson County,953
27065,MN,Kanabec County,"1,632"
27067,MN,Kandiyohi County,"4,136"
27069,MN,Kittson County,386
27071,MN,Koochiching County,"1,559"
27073,MN,Lac qui Parle County,614
27075,MN,Lake County,945
27077,MN,Lake of the Woods County,337
27079,MN,Le Sueur County,"2,027"
27081,MN,Lincoln County,556
27083,MN,Lyon County,"2,609"
27085,MN,McLeod County,"2,224"
27087,MN,Mahnomen County,"1,158"
27089,MN,Marshall County,691
27091,MN,Martin County,"2,041"
27093,MN,Meeker County,"1,807"
27095,MN,Mille Lacs County,"2,914"
27097,MN,Morrison County,"2,944"
27099,MN,Mower County,"4,539"
27101,MN,Murray County,682
27103,MN,Nicollet County,"3,146"
27105,MN,Nobles County,"2,334"
27107,MN,Norman County,647
27109,MN,Olmsted County,"10,482"
27111,MN,Otter Tail County,"6,331"
27113,MN,Pennington County,"1,342"
27115,MN,Pine County,"3,219"
27117,MN,Pipestone County,986
27119,MN,Polk County,"3,266"
27121,MN,Pope County,982
27123,MN,Ramsey County,"66,340"
27125,MN,Red Lake County,397
27127,MN,Redwood County,"1,433"
27129,MN,Renville County,"1,418"
27131,MN,Rice County,"4,919"
27133,MN,Rock County,785
27135,MN,Roseau County,902
27137,MN,St. Louis County,"24,428"
27139,MN,Scott County,"6,157"
27141,MN,Sherburne County,"5,170"
27143,MN,Sibley County,"1,574"
27145,MN,Stearns County,"17,305"
27147,MN,Steele County,"2,262"
27149,MN,Stevens County,"1,061"
27151,MN,Swift County,864
27153,MN,Todd County,"2,874"
27155,MN,Traverse County,374
27157,MN,Wabasha County,"1,803"
27159,MN,Wadena County,"1,658"
27161,MN,Waseca County,"1,569"
27163,MN,Washington County,"11,924"
27165,MN,Watonwan County,"1,081"
27167,MN,Wilkin County,551
27169,MN,Winona County,"5,165"
27171,MN,Wright County,"7,079"
27173,MN,Yellow Medicine County,910
28001,MS,Adams County,"7,891"
28003,MS,Alcorn County,"6,251"
28005,MS,Amite County,"2,537"
28007,MS,Attala County,"4,290"
28009,MS,Benton County,"1,685"
28011,MS,Bolivar County,"10,665"
28013,MS,Calhoun County,"2,428"
28015,MS,Carroll County,"1,641"
28017,MS,Chickasaw County,"3,755"
28019,MS,Choctaw County,"1,693"
28021,MS,Claiborne County,"2,875"
28023,MS,Clarke County,"3,573"
28025,MS,Clay County,"5,635"
28027,MS,Coahoma County,"8,210"
28029,MS,Copiah County,"6,082"
28031,MS,Covington County,"3,897"
28033,MS,DeSoto County,"17,313"
28035,MS,Forrest County,"16,776"
28037,MS,Franklin County,"1,496"
28039,MS,George County,"3,961"
28041,MS,Greene County,"2,389"
28043,MS,Grenada County,"4,162"
28045,MS,Hancock County,"7,869"
28047,MS,Harrison County,"35,341"
28049,MS,Hinds County,"44,973"
28051,MS,Holmes County,"5,447"
28053,MS,Humphreys County,"2,949"
28055,MS,Issaquena County,353
28057,MS,Itawamba County,"2,868"
28059,MS,Jackson County,"21,371"
28061,MS,Jasper County,"3,333"
28063,MS,Jefferson County,"1,910"
28065,MS,Jefferson Davis County,"2,676"
28067,MS,Jones County,"15,816"
28069,MS,Kemper County,"2,430"
28071,MS,Lafayette County,"8,642"
28073,MS,Lamar County,"10,059"
28075,MS,Lauderdale County,"15,208"
28077,MS,Lawrence County,"2,466"
28079,MS,Leake County,"5,007"
28081,MS,Lee County,"12,271"
28083,MS,Leflore County,"9,631"
28085,MS,Lincoln County,"6,564"
28087,MS,Lowndes County,"9,836"
28089,MS,Madison County,"10,541"
28091,MS,Marion County,"5,661"
28093,MS,Marshall County,"6,777"
28095,MS,Monroe County,"6,211"
28097,MS,Montgomery County,"2,285"
28099,MS,Neshoba County,"6,228"
28101,MS,Newton County,"4,163"
28103,MS,Noxubee County,"2,989"
28105,MS,Oktibbeha County,"14,067"
28107,MS,Panola County,"7,738"
28109,MS,Pearl River County,"9,767"
28111,MS,Perry County,"2,358"
28113,MS,Pike County,"10,040"
28115,MS,Pontotoc County,"5,041"
28117,MS,Prentiss County,"3,814"
28119,MS,Quitman County,"2,322"
28121,MS,Rankin County,"16,526"
28123,MS,Scott County,"5,485"
28125,MS,Sharkey County,"1,415"
28127,MS,Simpson County,"4,656"
28129,MS,Smith County,"2,988"
28131,MS,Stone County,"3,144"
28133,MS,Sunflower County,"7,156"
28135,MS,Tallahatchie County,"4,304"
28137,MS,Tate County,"4,114"
28139,MS,Tippah County,"3,500"
28141,MS,Tishomingo County,"3,242"
28143,MS,Tunica County,"2,666"
28145,MS,Union County,"3,694"
28147,MS,Walthall County,"3,063"
28149,MS,Warren County,"9,016"
28151,MS,Washington County,"14,550"
28153,MS,Wayne County,"4,447"
28155,MS,Webster County,"1,631"
28157,MS,Wilkinson County,"2,340"
28159,MS,Winston County,"4,441"
28161,MS,Yalobusha County,"2,906"
28163,MS,Yazoo County,"8,253"
29001,MO,Adair County,"4,308"
29003,MO,Andrew County,"1,559"
29005,MO,Atchison County,648
29007,MO,Audrain County,"3,797"
29009,MO,Barry County,"6,569"
29011,MO,Barton County,"1,737"
29013,MO,Bates County,"2,674"
29015,MO,Benton County,"3,208"
29017,MO,Bollinger County,"1,734"
29019,MO,Boone County,"29,399"
29021,MO,Buchanan County,"13,094"
29023,MO,Butler County,"9,362"
29025,MO,Caldwell County,"1,197"
29027,MO,Callaway County,"4,735"
29029,MO,Camden County,"6,149"
29031,MO,Cape Girardeau County,"10,909"
29033,MO,Carroll County,"1,183"
29035,MO,Carter County,"1,176"
29037,MO,Cass County,"8,226"
29039,MO,Cedar County,"2,529"
29041,MO,Chariton County,901
29043,MO,Christian County,"9,091"
29045,MO,Clark County,943
29047,MO,Clay County,"22,470"
29049,MO,Clinton County,"1,968"
29051,MO,Cole County,"7,628"
29053,MO,Cooper County,"1,896"
29055,MO,Crawford County,"3,656"
29057,MO,Dade County,"1,180"
29059,MO,Dallas County,"2,954"
29061,MO,Daviess County,"1,425"
29063,MO,DeKalb County,"1,329"
29065,MO,Dent County,"2,917"
29067,MO,Douglas County,"2,434"
29069,MO,Dunklin County,"7,569"
29071,MO,Franklin County,"9,546"
29073,MO,Gasconade County,"1,671"
29075,MO,Gentry County,740
29077,MO,Greene County,"40,634"
29079,MO,Grundy County,"1,774"
29081,MO,Harrison County,"1,266"
29083,MO,Henry County,"3,729"
29085,MO,Hickory County,"1,712"
29087,MO,Holt County,508
29089,MO,Howard County,"1,205"
29091,MO,Howell County,"8,213"
29093,MO,Iron County,"2,046"
29095,MO,Jackson County,"94,823"
29097,MO,Jasper County,"22,258"
29099,MO,Jefferson County,"18,767"
29101,MO,Johnson County,"5,724"
29103,MO,Knox County,645
29105,MO,Laclede County,"5,544"
29107,MO,Lafayette County,"3,430"
29109,MO,Lawrence County,"6,046"
29111,MO,Lewis County,"1,503"
29113,MO,Lincoln County,"5,456"
29115,MO,Linn County,"2,207"
29117,MO,Livingston County,"1,984"
29119,MO,McDonald County,"4,173"
29121,MO,Macon County,"1,842"
29123,MO,Madison County,"1,982"
29125,MO,Maries County,"1,229"
29127,MO,Marion County,"3,776"
29129,MO,Mercer County,453
29131,MO,Miller County,"3,818"
29133,MO,Mississippi County,"3,130"
29135,MO,Moniteau County,"1,617"
29137,MO,Monroe County,"1,143"
29139,MO,Montgomery County,"1,482"
29141,MO,Morgan County,"3,594"
29143,MO,New Madrid County,"3,758"
29145,MO,Newton County,"7,511"
29147,MO,Nodaway County,"3,302"
29149,MO,Oregon County,"2,132"
29151,MO,Osage County,"1,199"
29153,MO,Ozark County,"2,056"
29155,MO,Pemiscot County,"4,178"
29157,MO,Perry County,"1,710"
29159,MO,Pettis County,"5,349"
29161,MO,Phelps County,"7,069"
29163,MO,Pike County,"2,802"
